step,battery,demand,renewable,price_level,period,action,reward,grid_bought,sold,demand_covered,unmet_demand,wasted_renewable,invalid_action,risk_score,risk_level,risk_level_name
121,0,2,0,1,0,1,-1.324358974358974,2,0,2,0,0,0,70.8119658119658,2,high
122,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
123,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
124,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
125,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
126,0,3,0,1,1,1,-0.9243589743589746,3,0,3,0,0,0,70.8119658119658,2,high
127,0,2,1,1,1,1,0.275641025641026,1,0,2,0,0,0,70.8119658119658,2,high
128,0,2,1,1,1,1,0.275641025641026,1,0,2,0,0,0,70.8119658119658,2,high
129,0,2,3,0,1,3,3.3,0,1,2,0,0,0,50.0,1,medium
130,0,2,3,0,1,3,3.3,0,1,2,0,0,0,50.0,1,medium
131,0,3,3,0,1,4,4.5,0,0,3,0,0,0,50.0,1,medium
132,0,1,2,0,2,2,0.9534482758620686,0,0,1,0,0,0,34.88505747126438,1,medium
133,1,3,3,0,2,4,4.5,0,0,3,0,0,0,50.0,1,medium
134,1,3,2,0,2,1,3.0756410256410263,1,0,3,0,0,0,70.8119658119658,2,high
135,1,3,3,0,2,4,4.5,0,0,3,0,0,0,50.0,1,medium
136,1,3,2,1,2,0,3.875641025641026,0,0,3,0,0,0,70.8119658119658,2,high
137,0,3,2,1,2,1,2.2756410256410264,1,0,3,0,0,0,70.8119658119658,2,high
138,0,3,0,2,3,1,-3.324358974358974,3,0,3,0,0,0,70.8119658119658,2,high
139,0,3,0,2,3,1,-3.324358974358974,3,0,3,0,0,0,70.8119658119658,2,high
140,0,2,0,2,3,1,-2.9243589743589746,2,0,2,0,0,0,70.8119658119658,2,high
141,0,0,0,1,3,4,-1.4999999999999998,0,0,0,0,0,0,49.99999999999999,1,medium
142,0,1,0,1,3,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
143,0,1,1,1,3,4,0.5000000000000002,0,0,1,0,0,0,49.99999999999999,1,medium
144,0,2,0,1,0,1,-1.324358974358974,2,0,2,0,0,0,70.8119658119658,2,high
145,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
146,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
147,0,1,1,1,0,4,0.5000000000000002,0,0,1,0,0,0,49.99999999999999,1,medium
148,0,1,0,1,0,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
149,0,1,1,1,0,4,0.5000000000000002,0,0,1,0,0,0,49.99999999999999,1,medium
150,0,3,1,1,1,1,0.6756410256410259,2,0,3,0,0,0,70.8119658119658,2,high
151,0,2,2,1,1,4,1.875641025641026,0,0,2,0,0,0,70.8119658119658,2,high
152,0,3,0,1,1,1,-0.9243589743589746,3,0,3,0,0,0,70.8119658119658,2,high
153,0,2,3,0,1,3,3.3,0,1,2,0,0,0,50.0,1,medium
154,0,2,3,0,1,3,3.3,0,1,2,0,0,0,50.0,1,medium
155,0,2,3,0,1,3,3.3,0,1,2,0,0,0,50.0,1,medium
156,0,2,3,0,2,2,2.5,0,0,2,0,0,0,50.0,1,medium
157,1,3,3,0,2,1,3.0,0,0,3,0,0,1,50.0,1,medium
158,1,3,3,0,2,4,4.5,0,0,3,0,0,0,50.0,1,medium
159,1,3,3,0,2,4,4.5,0,0,3,0,0,0,50.0,1,medium
160,1,3,2,1,2,0,3.875641025641026,0,0,3,0,0,0,70.8119658119658,2,high
161,0,3,3,1,2,4,3.875641025641026,0,0,3,0,0,0,70.8119658119658,2,high
162,0,3,1,2,3,1,-0.9243589743589746,2,0,3,0,0,0,70.8119658119658,2,high
163,0,3,0,2,3,1,-3.324358974358974,3,0,3,0,0,0,70.8119658119658,2,high
164,0,3,0,2,3,1,-3.324358974358974,3,0,3,0,0,0,70.8119658119658,2,high
165,0,1,0,1,3,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
166,0,1,0,1,3,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
167,0,1,0,1,3,1,-1.0999999999999999,1,0,1,0,0,0,49.99999999999999,1,medium
