step,battery,demand,renewable,price_level,period,action,reward,grid_bought,sold,demand_covered,unmet_demand,wasted_renewable,invalid_action,risk_score,risk_level,risk_level_name
122,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
123,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
124,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
125,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
126,0,2,0,1,1,1,-1.9,2,0,2,0,0,0,90.0,2,high
127,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
128,0,1,1,1,1,3,-1.3249999999999997,0,0,1,0,0,1,60.83333333333333,1,medium
129,0,2,3,0,1,3,2.1,0,1,2,0,0,0,90.0,2,high
130,0,2,3,0,1,3,2.1,0,1,2,0,0,0,90.0,2,high
131,0,2,3,0,1,3,2.1,0,1,2,0,0,0,90.0,2,high
132,0,2,3,0,2,0,-0.6999999999999997,0,0,2,0,1,1,90.0,2,high
133,0,2,3,0,2,3,2.1,0,1,2,0,0,0,90.0,2,high
134,0,2,3,0,2,2,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
135,1,2,3,0,2,2,2.5,0,0,2,0,0,0,50.0,1,medium
136,2,3,0,2,2,1,-3.9,3,0,3,0,0,0,90.0,2,high
137,2,3,1,2,2,0,3.3000000000000003,0,0,3,0,0,0,90.0,2,high
138,0,3,1,2,3,1,-1.5000000000000004,2,0,3,0,0,0,90.0,2,high
139,0,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
140,0,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
141,0,1,0,1,3,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
142,0,1,0,1,3,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
143,0,1,0,1,3,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
144,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
145,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
146,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
147,0,1,1,1,0,3,-1.3249999999999997,0,0,1,0,0,1,60.83333333333333,1,medium
148,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
149,0,1,0,1,0,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
150,0,2,0,1,1,1,-1.9,2,0,2,0,0,0,90.0,2,high
151,0,2,2,1,1,4,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
152,0,2,1,1,1,1,-0.2999999999999998,1,0,2,0,0,0,90.0,2,high
153,0,2,3,0,1,3,2.1,0,1,2,0,0,0,90.0,2,high
154,0,2,3,0,1,3,2.1,0,1,2,0,0,0,90.0,2,high
155,0,2,3,0,1,3,2.1,0,1,2,0,0,0,90.0,2,high
156,0,2,3,0,2,2,1.3000000000000003,0,0,2,0,0,0,90.0,2,high
157,1,2,3,0,2,2,2.5,0,0,2,0,0,0,50.0,1,medium
158,2,2,3,0,2,2,3.55,0,0,2,0,0,0,15.0,0,low
159,3,2,3,0,2,2,3.55,0,0,2,0,0,0,15.0,0,low
160,4,3,1,2,2,0,3.3000000000000003,0,0,3,0,0,0,90.0,2,high
161,2,3,1,2,2,0,3.3000000000000003,0,0,3,0,0,0,90.0,2,high
162,0,3,1,2,3,1,-1.5000000000000004,2,0,3,0,0,0,90.0,2,high
163,0,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
164,0,3,0,2,3,1,-3.9,3,0,3,0,0,0,90.0,2,high
165,0,1,0,1,3,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
166,0,1,0,1,3,1,-1.6750000000000003,1,0,1,0,0,0,69.16666666666667,2,high
167,0,1,1,1,3,4,0.17500000000000027,0,0,1,0,0,0,60.83333333333333,1,medium
